CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/1150.py
MEM 4.007812 1745294945.8378
MEM 4.492188 1745294945.8390
MEM 5.324219 1745294945.8401
MEM 6.398438 1745294945.8413
MEM 6.554688 1745294945.8425
MEM 7.054688 1745294945.8436
MEM 7.210938 1745294945.8448
MEM 7.546875 1745294945.8459
MEM 7.921875 1745294945.8471
MEM 8.078125 1745294945.8482
MEM 8.234375 1745294945.8494
MEM 8.546875 1745294945.8506
MEM 9.328125 1745294945.8545
MEM 9.484375 1745294945.8557
MEM 9.484375 1745294945.8568
MEM 9.640625 1745294945.8580
MEM 9.796875 1745294945.8592
MEM 9.953125 1745294945.8603
MEM 9.953125 1745294945.8615
MEM 9.953125 1745294945.8626
MEM 10.273438 1745294945.8638
MEM 10.429688 1745294945.8649
MEM 10.429688 1745294945.8661
MEM 11.085938 1745294945.8673
MEM 11.085938 1745294945.8684
MEM 11.085938 1745294945.8696
MEM 11.085938 1745294945.8708
MEM 11.414062 1745294945.8719
MEM 11.414062 1745294945.8731
MEM 11.882812 1745294945.8742
MEM 11.882812 1745294945.8754
MEM 13.730469 1745294945.8765
MEM 14.695312 1745294945.8777
MEM 14.695312 1745294945.8789
MEM 14.695312 1745294945.8800
MEM 15.441406 1745294945.8812
MEM 16.222656 1745294945.8855
MEM 16.378906 1745294945.8867
MEM 16.378906 1745294945.8879
MEM 16.535156 1745294945.8890
MEM 16.535156 1745294945.8902
MEM 16.691406 1745294945.8914
MEM 16.855469 1745294945.8925
MEM 16.855469 1745294945.8937
MEM 17.011719 1745294945.8949
MEM 17.167969 1745294945.8960
MEM 17.167969 1745294945.8972
MEM 17.636719 1745294945.8983
MEM 17.636719 1745294945.8995
MEM 17.636719 1745294945.9007
MEM 17.792969 1745294945.9018
MEM 17.792969 1745294945.9031
MEM 17.949219 1745294945.9042
MEM 18.261719 1745294945.9054
MEM 18.417969 1745294945.9066
MEM 18.574219 1745294945.9077
MEM 18.574219 1745294945.9089
MEM 18.886719 1745294945.9100
MEM 18.886719 1745294945.9112
MEM 19.199219 1745294945.9124
MEM 19.390625 1745294945.9136
MEM 19.390625 1745294945.9147
MEM 19.703125 1745294945.9175
MEM 20.054688 1745294945.9187
MEM 20.210938 1745294945.9198
MEM 20.371094 1745294945.9210
MEM 20.371094 1745294945.9222
MEM 20.527344 1745294945.9233
MEM 20.527344 1745294945.9245
MEM 20.527344 1745294945.9256
MEM 20.527344 1745294945.9268
MEM 20.839844 1745294945.9279
MEM 21.156250 1745294945.9291
MEM 21.156250 1745294945.9302
MEM 21.312500 1745294945.9315
MEM 21.781250 1745294945.9355
MEM 21.937500 1745294945.9367
