CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/74.py
MEM 4.000000 1745294946.0028
MEM 4.796875 1745294946.0041
MEM 5.316406 1745294946.0053
MEM 5.316406 1745294946.0065
MEM 5.316406 1745294946.0077
MEM 5.503906 1745294946.0088
MEM 5.687500 1745294946.0100
MEM 6.210938 1745294946.0111
MEM 6.390625 1745294946.0123
MEM 6.546875 1745294946.0135
MEM 6.871094 1745294946.0147
MEM 6.871094 1745294946.0175
MEM 6.871094 1745294946.0187
MEM 7.027344 1745294946.0199
MEM 7.203125 1745294946.0210
MEM 7.359375 1745294946.0221
MEM 7.917969 1745294946.0233
MEM 8.074219 1745294946.0244
MEM 8.074219 1745294946.0256
MEM 8.074219 1745294946.0267
MEM 8.074219 1745294946.0279
MEM 8.074219 1745294946.0290
MEM 8.230469 1745294946.0302
MEM 8.230469 1745294946.0313
MEM 8.230469 1745294946.0325
MEM 8.542969 1745294946.0355
MEM 8.699219 1745294946.0367
MEM 8.855469 1745294946.0379
MEM 8.855469 1745294946.0390
MEM 8.855469 1745294946.0402
MEM 8.855469 1745294946.0414
MEM 9.324219 1745294946.0426
MEM 9.480469 1745294946.0437
MEM 9.480469 1745294946.0449
MEM 9.480469 1745294946.0461
MEM 9.480469 1745294946.0473
MEM 9.480469 1745294946.0484
MEM 9.636719 1745294946.0496
MEM 9.636719 1745294946.0508
MEM 9.636719 1745294946.0519
MEM 9.949219 1745294946.0565
MEM 9.949219 1745294946.0577
MEM 9.949219 1745294946.0589
MEM 9.949219 1745294946.0601
MEM 9.949219 1745294946.0613
MEM 10.269531 1745294946.0625
MEM 10.269531 1745294946.0637
MEM 10.269531 1745294946.0649
MEM 10.269531 1745294946.0661
MEM 10.269531 1745294946.0673
MEM 10.425781 1745294946.0685
MEM 10.582031 1745294946.0697
MEM 10.894531 1745294946.0709
MEM 10.894531 1745294946.0720
MEM 11.050781 1745294946.0732
MEM 11.050781 1745294946.0744
MEM 11.050781 1745294946.0755
MEM 11.050781 1745294946.0767
MEM 11.367188 1745294946.0779
MEM 11.367188 1745294946.0790
MEM 11.367188 1745294946.0802
MEM 11.367188 1745294946.0814
MEM 11.367188 1745294946.0825
MEM 11.367188 1745294946.0837
MEM 11.835938 1745294946.0848
MEM 13.050781 1745294946.0885
MEM 13.593750 1745294946.0897
MEM 14.410156 1745294946.0909
MEM 14.566406 1745294946.0920
MEM 14.566406 1745294946.0932
MEM 14.566406 1745294946.0944
MEM 14.566406 1745294946.0955
MEM 14.566406 1745294946.0967
MEM 14.878906 1745294946.0979
MEM 15.410156 1745294946.0991
MEM 15.566406 1745294946.1002
MEM 15.566406 1745294946.1014
MEM 15.566406 1745294946.1026
MEM 15.722656 1745294946.1037
MEM 15.878906 1745294946.1049
MEM 16.035156 1745294946.1060
MEM 16.191406 1745294946.1072
MEM 16.347656 1745294946.1096
MEM 16.503906 1745294946.1108
MEM 16.503906 1745294946.1120
MEM 16.660156 1745294946.1131
MEM 16.660156 1745294946.1143
MEM 16.660156 1745294946.1167
MEM 16.972656 1745294946.1179
MEM 17.441406 1745294946.1191
MEM 17.441406 1745294946.1203
MEM 17.441406 1745294946.1215
MEM 17.597656 1745294946.1227
MEM 17.597656 1745294946.1239
MEM 17.910156 1745294946.1250
MEM 18.066406 1745294946.1262
MEM 18.535156 1745294946.1296
MEM 18.691406 1745294946.1308
MEM 18.847656 1745294946.1319
MEM 19.386719 1745294946.1331
MEM 19.386719 1745294946.1343
MEM 19.542969 1745294946.1356
MEM 19.699219 1745294946.1368
MEM 19.699219 1745294946.1380
MEM 20.015625 1745294946.1391
MEM 20.171875 1745294946.1403
MEM 20.328125 1745294946.1414
MEM 20.328125 1745294946.1426
MEM 20.484375 1745294946.1438
MEM 20.484375 1745294946.1450
MEM 20.640625 1745294946.1463
MEM 20.796875 1745294946.1475
MEM 21.128906 1745294946.1487
MEM 21.128906 1745294946.1498
MEM 21.285156 1745294946.1510
MEM 21.753906 1745294946.1536
MEM 21.753906 1745294946.1547
MEM 22.222656 1745294946.1559
MEM 22.222656 1745294946.1571
MEM 22.222656 1745294946.1582
MEM 22.222656 1745294946.1594
MEM 22.222656 1745294946.1605
MEM 22.378906 1745294946.1618
MEM 22.378906 1745294946.1630
MEM 22.691406 1745294946.1642
MEM 23.160156 1745294946.1653
MEM 23.160156 1745294946.1665
MEM 23.316406 1745294946.1676
MEM 23.472656 1745294946.1689
MEM 23.628906 1745294946.1701
MEM 23.628906 1745294946.1713
MEM 23.628906 1745294946.1724
MEM 24.253906 1745294946.1765
MEM 24.410156 1745294946.1777
MEM 24.410156 1745294946.1788
MEM 24.410156 1745294946.1800
MEM 24.566406 1745294946.1812
MEM 24.906250 1745294946.1826
MEM 25.062500 1745294946.1837
MEM 25.218750 1745294946.1849
MEM 25.218750 1745294946.1860
MEM 25.218750 1745294946.1872
MEM 25.375000 1745294946.1883
MEM 25.531250 1745294946.1895
MEM 25.687500 1745294946.1906
MEM 25.843750 1745294946.1918
MEM 26.000000 1745294946.1931
MEM 26.335938 1745294946.1943
MEM 26.492188 1745294946.1955
MEM 26.648438 1745294946.1967
MEM 26.648438 1745294946.1978
MEM 26.804688 1745294946.1990
MEM 26.804688 1745294946.2002
MEM 27.117188 1745294946.2037
MEM 27.117188 1745294946.2048
MEM 27.117188 1745294946.2060
MEM 27.273438 1745294946.2072
MEM 27.273438 1745294946.2083
MEM 27.429688 1745294946.2095
MEM 27.585938 1745294946.2106
MEM 27.742188 1745294946.2117
MEM 27.742188 1745294946.2129
MEM 27.742188 1745294946.2140
MEM 27.898438 1745294946.2152
MEM 27.898438 1745294946.2163
MEM 28.054688 1745294946.2174
MEM 28.054688 1745294946.2186
