CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/DeepSeek-V3/367.py
MEM 16.867188 1745294946.0649
MEM 17.179688 1745294946.0675
MEM 17.492188 1745294946.0698
MEM 17.648438 1745294946.0709
MEM 17.648438 1745294946.0721
MEM 17.648438 1745294946.0732
MEM 17.804688 1745294946.0744
MEM 17.804688 1745294946.0756
MEM 18.117188 1745294946.0767
MEM 18.273438 1745294946.0779
MEM 18.429688 1745294946.0791
MEM 18.742188 1745294946.0815
MEM 18.898438 1745294946.0827
MEM 19.558594 1745294946.0886
MEM 19.714844 1745294946.0898
MEM 19.910156 1745294946.0910
MEM 20.226562 1745294946.0921
MEM 20.382812 1745294946.0933
MEM 20.382812 1745294946.0945
MEM 20.382812 1745294946.0957
MEM 20.382812 1745294946.0968
MEM 20.382812 1745294946.0980
MEM 20.539062 1745294946.0992
MEM 20.539062 1745294946.1004
MEM 20.539062 1745294946.1015
MEM 20.695312 1745294946.1027
MEM 20.851562 1745294946.1039
MEM 21.191406 1745294946.1050
MEM 21.191406 1745294946.1062
MEM 21.347656 1745294946.1074
MEM 21.660156 1745294946.1085
MEM 21.972656 1745294946.1115
MEM 22.285156 1745294946.1127
MEM 22.285156 1745294946.1139
MEM 22.285156 1745294946.1150
MEM 22.441406 1745294946.1185
MEM 22.441406 1745294946.1197
MEM 22.753906 1745294946.1208
MEM 23.066406 1745294946.1220
MEM 23.222656 1745294946.1232
MEM 23.378906 1745294946.1243
MEM 23.535156 1745294946.1255
MEM 23.535156 1745294946.1267
MEM 23.535156 1745294946.1279
MEM 23.691406 1745294946.1290
MEM 23.847656 1745294946.1325
MEM 24.003906 1745294946.1337
MEM 24.316406 1745294946.1348
MEM 24.472656 1745294946.1360
MEM 24.472656 1745294946.1372
MEM 24.472656 1745294946.1384
MEM 24.628906 1745294946.1396
MEM 24.976562 1745294946.1407
MEM 25.132812 1745294946.1419
MEM 25.132812 1745294946.1431
MEM 25.289062 1745294946.1443
MEM 25.289062 1745294946.1454
MEM 25.914062 1745294946.1505
MEM 26.070312 1745294946.1517
MEM 26.070312 1745294946.1529
MEM 26.226562 1745294946.1540
MEM 26.382812 1745294946.1552
MEM 26.539062 1745294946.1564
MEM 26.539062 1745294946.1576
MEM 26.695312 1745294946.1588
MEM 26.695312 1745294946.1600
MEM 26.851562 1745294946.1611
MEM 27.007812 1745294946.1623
MEM 27.007812 1745294946.1635
MEM 27.007812 1745294946.1646
MEM 27.164062 1745294946.1658
MEM 27.164062 1745294946.1669
MEM 27.320312 1745294946.1681
MEM 27.320312 1745294946.1693
MEM 27.968750 1745294946.1745
MEM 27.968750 1745294946.1757
MEM 27.968750 1745294946.1769
MEM 28.125000 1745294946.1780
MEM 28.125000 1745294946.1792
MEM 28.125000 1745294946.1804
MEM 28.281250 1745294946.1815
MEM 28.281250 1745294946.1827
MEM 28.281250 1745294946.1839
MEM 28.281250 1745294946.1850
MEM 28.437500 1745294946.1862
MEM 28.437500 1745294946.1874
MEM 28.906250 1745294946.1885
MEM 28.906250 1745294946.1897
MEM 29.062500 1745294946.1909
MEM 29.218750 1745294946.1955
MEM 29.218750 1745294946.1967
MEM 29.375000 1745294946.1978
MEM 30.656250 1745294946.1990
MEM 31.382812 1745294946.2002
MEM 31.539062 1745294946.2014
MEM 31.539062 1745294946.2026
MEM 31.539062 1745294946.2037
MEM 31.695312 1745294946.2049
MEM 32.164062 1745294946.2095
MEM 32.164062 1745294946.2107
MEM 32.476562 1745294946.2118
MEM 32.632812 1745294946.2130
MEM 32.632812 1745294946.2142
MEM 32.789062 1745294946.2154
MEM 32.945312 1745294946.2165
MEM 33.101562 1745294946.2177
MEM 33.257812 1745294946.2189
MEM 33.257812 1745294946.2200
MEM 33.257812 1745294946.2212
MEM 33.257812 1745294946.2224
MEM 33.257812 1745294946.2235
MEM 33.414062 1745294946.2247
MEM 33.726562 1745294946.2259
MEM 33.882812 1745294946.2305
MEM 33.882812 1745294946.2317
MEM 33.882812 1745294946.2329
MEM 34.039062 1745294946.2341
MEM 34.039062 1745294946.2352
MEM 34.796875 1745294946.2364
MEM 34.796875 1745294946.2376
MEM 34.796875 1745294946.2387
MEM 34.953125 1745294946.2399
MEM 34.953125 1745294946.2411
MEM 34.953125 1745294946.2422
MEM 34.953125 1745294946.2434
MEM 34.953125 1745294946.2445
MEM 35.109375 1745294946.2457
MEM 35.109375 1745294946.2469
MEM 35.421875 1745294946.2515
MEM 35.421875 1745294946.2526
MEM 36.515625 1745294946.2538
MEM 36.140625 1745294946.2550
MEM 36.296875 1745294946.2561
MEM 36.453125 1745294946.2585
MEM 36.453125 1745294946.2596
MEM 36.453125 1745294946.2608
MEM 36.609375 1745294946.2620
MEM 36.609375 1745294946.2632
MEM 36.765625 1745294946.2643
MEM 36.765625 1745294946.2655
MEM 36.921875 1745294946.2667
MEM 36.921875 1745294946.2679
MEM 37.078125 1745294946.2690
MEM 37.078125 1745294946.2702
MEM 37.234375 1745294946.2714
MEM 37.234375 1745294946.2725
MEM 37.234375 1745294946.2737
MEM 37.390625 1745294946.2749
MEM 37.390625 1745294946.2760
MEM 37.546875 1745294946.2772
MEM 37.546875 1745294946.2784
MEM 37.703125 1745294946.2796
