CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Human/744.py
MEM 2.906250 1745297048.3549
MEM 2.906250 1745297048.3575
MEM 3.062500 1745297048.3587
MEM 4.070312 1745297048.3599
MEM 4.539062 1745297048.3611
MEM 4.539062 1745297048.3623
MEM 4.695312 1745297048.3635
MEM 4.695312 1745297048.3647
MEM 4.695312 1745297048.3675
MEM 5.777344 1745297048.3687
MEM 6.148438 1745297048.3699
MEM 6.460938 1745297048.3711
MEM 6.460938 1745297048.3723
MEM 6.460938 1745297048.3735
MEM 6.812500 1745297048.3747
MEM 6.968750 1745297048.3758
MEM 6.968750 1745297048.3770
MEM 6.968750 1745297048.3782
MEM 6.968750 1745297048.3794
MEM 7.300781 1745297048.3825
MEM 7.300781 1745297048.3837
MEM 7.300781 1745297048.3849
MEM 7.300781 1745297048.3861
MEM 7.644531 1745297048.3873
MEM 8.019531 1745297048.3885
MEM 8.019531 1745297048.3897
MEM 8.019531 1745297048.3909
MEM 8.175781 1745297048.3921
MEM 8.175781 1745297048.3932
MEM 8.175781 1745297048.3945
MEM 8.332031 1745297048.3956
MEM 8.332031 1745297048.3968
MEM 8.488281 1745297048.3996
MEM 8.488281 1745297048.4008
MEM 8.644531 1745297048.4020
MEM 8.800781 1745297048.4032
MEM 8.800781 1745297048.4044
MEM 8.800781 1745297048.4056
MEM 8.800781 1745297048.4068
MEM 8.800781 1745297048.4080
MEM 8.957031 1745297048.4092
MEM 8.957031 1745297048.4104
MEM 9.425781 1745297048.4145
MEM 9.425781 1745297048.4157
MEM 9.425781 1745297048.4169
MEM 9.425781 1745297048.4181
MEM 9.425781 1745297048.4193
MEM 9.582031 1745297048.4205
MEM 9.738281 1745297048.4217
MEM 9.894531 1745297048.4229
MEM 9.894531 1745297048.4240
MEM 9.894531 1745297048.4253
MEM 9.894531 1745297048.4265
MEM 10.050781 1745297048.4277
MEM 10.207031 1745297048.4289
MEM 10.375000 1745297048.4301
MEM 10.531250 1745297048.4313
MEM 10.843750 1745297048.4324
MEM 10.843750 1745297048.4336
MEM 10.843750 1745297048.4348
MEM 10.843750 1745297048.4360
MEM 11.187500 1745297048.4371
MEM 11.351562 1745297048.4395
MEM 11.664062 1745297048.4407
MEM 11.832031 1745297048.4419
MEM 13.066406 1745297048.4430
MEM 13.894531 1745297048.4442
MEM 14.519531 1745297048.4454
MEM 14.519531 1745297048.4465
MEM 14.519531 1745297048.4477
MEM 14.871094 1745297048.4489
MEM 15.738281 1745297048.4515
MEM 15.894531 1745297048.4527
MEM 16.050781 1745297048.4539
MEM 16.207031 1745297048.4551
MEM 16.207031 1745297048.4562
MEM 16.363281 1745297048.4574
MEM 16.363281 1745297048.4586
MEM 16.519531 1745297048.4598
MEM 16.683594 1745297048.4610
MEM 16.683594 1745297048.4622
MEM 16.839844 1745297048.4633
MEM 16.996094 1745297048.4655
MEM 17.464844 1745297048.4667
MEM 17.464844 1745297048.4679
MEM 17.464844 1745297048.4691
MEM 17.621094 1745297048.4703
MEM 17.777344 1745297048.4715
MEM 17.777344 1745297048.4726
MEM 18.402344 1745297048.4765
MEM 18.714844 1745297048.4777
MEM 18.714844 1745297048.4789
MEM 19.027344 1745297048.4800
MEM 19.218750 1745297048.4812
MEM 19.218750 1745297048.4824
MEM 19.375000 1745297048.4835
MEM 19.531250 1745297048.4847
MEM 19.531250 1745297048.4859
MEM 19.882812 1745297048.4871
MEM 20.039062 1745297048.4882
MEM 20.195312 1745297048.4894
MEM 20.195312 1745297048.4906
MEM 20.351562 1745297048.4918
MEM 20.351562 1745297048.4930
MEM 20.351562 1745297048.4942
MEM 20.507812 1745297048.4953
MEM 20.664062 1745297048.4965
MEM 20.996094 1745297048.4977
MEM 20.996094 1745297048.4988
MEM 21.152344 1745297048.5014
MEM 21.621094 1745297048.5026
MEM 21.621094 1745297048.5038
MEM 21.933594 1745297048.5049
MEM 22.089844 1745297048.5061
MEM 22.089844 1745297048.5073
MEM 22.089844 1745297048.5085
MEM 22.246094 1745297048.5097
MEM 22.246094 1745297048.5108
MEM 22.402344 1745297048.5126
MEM 23.027344 1745297048.5155
MEM 23.183594 1745297048.5167
MEM 23.183594 1745297048.5179
MEM 23.183594 1745297048.5191
MEM 23.183594 1745297048.5203
MEM 23.183594 1745297048.5215
MEM 23.183594 1745297048.5227
MEM 23.496094 1745297048.5238
MEM 23.496094 1745297048.5250
MEM 23.496094 1745297048.5262
MEM 23.496094 1745297048.5274
MEM 23.496094 1745297048.5286
MEM 23.496094 1745297048.5297
MEM 23.496094 1745297048.5335
MEM 23.496094 1745297048.5347
MEM 23.496094 1745297048.5359
MEM 23.652344 1745297048.5372
MEM 23.808594 1745297048.5384
MEM 23.808594 1745297048.5396
MEM 24.121094 1745297048.5407
MEM 24.121094 1745297048.5419
MEM 24.121094 1745297048.5431
MEM 24.121094 1745297048.5443
MEM 24.277344 1745297048.5455
MEM 24.277344 1745297048.5466
MEM 24.277344 1745297048.5478
MEM 24.277344 1745297048.5490
MEM 24.433594 1745297048.5502
MEM 24.433594 1745297048.5514
MEM 24.433594 1745297048.5525
MEM 24.433594 1745297048.5537
MEM 24.433594 1745297048.5549
MEM 24.757812 1745297048.5585
MEM 24.914062 1745297048.5597
MEM 24.914062 1745297048.5609
MEM 24.914062 1745297048.5621
MEM 24.914062 1745297048.5633
MEM 24.914062 1745297048.5645
MEM 24.914062 1745297048.5657
MEM 24.914062 1745297048.5668
MEM 24.914062 1745297048.5680
MEM 24.914062 1745297048.5692
MEM 24.914062 1745297048.5704
MEM 25.070312 1745297048.5716
MEM 25.070312 1745297048.5728
MEM 25.070312 1745297048.5740
MEM 25.226562 1745297048.5753
MEM 25.226562 1745297048.5765
MEM 25.226562 1745297048.5780
MEM 25.695312 1745297048.5815
MEM 25.851562 1745297048.5827
MEM 25.851562 1745297048.5839
MEM 26.164062 1745297048.5851
MEM 26.164062 1745297048.5863
MEM 26.320312 1745297048.5875
MEM 26.320312 1745297048.5887
MEM 26.476562 1745297048.5898
MEM 26.476562 1745297048.5910
MEM 26.476562 1745297048.5922
MEM 26.632812 1745297048.5934
MEM 26.789062 1745297048.5946
MEM 26.789062 1745297048.5958
MEM 26.789062 1745297048.5970
MEM 26.789062 1745297048.5981
MEM 26.945312 1745297048.5993
MEM 26.945312 1745297048.6005
MEM 27.257812 1745297048.6035
MEM 27.414062 1745297048.6047
MEM 27.601562 1745297048.6059
MEM 27.601562 1745297048.6071
MEM 27.757812 1745297048.6082
MEM 27.757812 1745297048.6094
MEM 27.757812 1745297048.6106
MEM 27.914062 1745297048.6118
MEM 27.914062 1745297048.6129
MEM 27.914062 1745297048.6141
MEM 27.914062 1745297048.6153
MEM 28.070312 1745297048.6165
MEM 28.070312 1745297048.6176
MEM 28.070312 1745297048.6188
MEM 28.070312 1745297048.6200
MEM 28.695312 1745297048.6245
MEM 28.851562 1745297048.6257
MEM 28.851562 1745297048.6269
MEM 29.007812 1745297048.6281
MEM 29.007812 1745297048.6293
MEM 29.007812 1745297048.6305
MEM 29.007812 1745297048.6317
MEM 30.445312 1745297048.6329
MEM 31.171875 1745297048.6340
MEM 31.171875 1745297048.6353
MEM 31.328125 1745297048.6365
MEM 31.328125 1745297048.6377
MEM 31.484375 1745297048.6389
MEM 31.640625 1745297048.6400
MEM 31.640625 1745297048.6412
MEM 31.796875 1745297048.6426
MEM 31.796875 1745297048.6438
MEM 31.953125 1745297048.6450
MEM 32.265625 1745297048.6462
MEM 32.421875 1745297048.6473
MEM 32.578125 1745297048.6485
MEM 32.578125 1745297048.6496
MEM 32.890625 1745297048.6508
MEM 32.890625 1745297048.6520
MEM 33.046875 1745297048.6565
MEM 33.359375 1745297048.6577
MEM 33.515625 1745297048.6589
MEM 33.515625 1745297048.6601
MEM 33.671875 1745297048.6613
MEM 33.671875 1745297048.6625
MEM 33.671875 1745297048.6636
MEM 33.671875 1745297048.6648
MEM 33.828125 1745297048.6660
MEM 33.828125 1745297048.6672
MEM 34.691406 1745297048.6683
MEM 34.691406 1745297048.6695
MEM 34.691406 1745297048.6707
MEM 34.691406 1745297048.6719
MEM 34.691406 1745297048.6731
MEM 34.847656 1745297048.6743
MEM 34.847656 1745297048.6755
MEM 34.847656 1745297048.6766
MEM 35.003906 1745297048.6778
MEM 35.003906 1745297048.6790
MEM 35.003906 1745297048.6803
MEM 35.003906 1745297048.6815
MEM 35.160156 1745297048.6827
MEM 35.316406 1745297048.6838
MEM 35.316406 1745297048.6850
MEM 36.253906 1745297048.6862
MEM 36.156250 1745297048.6885
MEM 36.156250 1745297048.6897
MEM 36.312500 1745297048.6909
MEM 36.312500 1745297048.6920
MEM 36.468750 1745297048.6932
MEM 36.468750 1745297048.6944
MEM 36.625000 1745297048.6956
MEM 36.625000 1745297048.6968
MEM 36.781250 1745297048.6995
MEM 36.937500 1745297048.7007
MEM 36.937500 1745297048.7019
MEM 37.093750 1745297048.7031
MEM 37.093750 1745297048.7043
MEM 37.093750 1745297048.7055
MEM 37.250000 1745297048.7067
MEM 37.250000 1745297048.7079
MEM 37.406250 1745297048.7091
MEM 37.406250 1745297048.7103
MEM 37.875000 1745297048.7135
MEM 37.875000 1745297048.7147
MEM 38.031250 1745297048.7159
MEM 38.031250 1745297048.7173
MEM 38.031250 1745297048.7185
MEM 38.031250 1745297048.7197
MEM 38.187500 1745297048.7209
MEM 38.187500 1745297048.7220
MEM 38.187500 1745297048.7232
MEM 38.500000 1745297048.7244
MEM 38.656250 1745297048.7256
MEM 38.656250 1745297048.7268
MEM 38.812500 1745297048.7280
MEM 38.812500 1745297048.7292
MEM 39.125000 1745297048.7315
MEM 39.125000 1745297048.7327
MEM 39.281250 1745297048.7339
MEM 39.593750 1745297048.7351
MEM 39.593750 1745297048.7362
MEM 39.750000 1745297048.7374
MEM 39.750000 1745297048.7386
MEM 39.750000 1745297048.7398
MEM 40.062500 1745297048.7425
MEM 40.218750 1745297048.7437
MEM 40.554688 1745297048.7449
MEM 40.554688 1745297048.7461
MEM 40.710938 1745297048.7473
MEM 40.710938 1745297048.7485
MEM 40.710938 1745297048.7497
MEM 40.710938 1745297048.7509
MEM 40.867188 1745297048.7520
MEM 41.179688 1745297048.7532
MEM 41.179688 1745297048.7544
MEM 41.500000 1745297048.7575
MEM 41.656250 1745297048.7587
MEM 41.656250 1745297048.7599
MEM 41.812500 1745297048.7611
MEM 41.812500 1745297048.7623
MEM 41.968750 1745297048.7635
MEM 41.968750 1745297048.7647
MEM 41.968750 1745297048.7659
MEM 42.125000 1745297048.7671
MEM 42.125000 1745297048.7683
MEM 42.281250 1745297048.7695
MEM 42.437500 1745297048.7707
MEM 42.593750 1745297048.7718
MEM 42.906250 1745297048.7755
MEM 42.906250 1745297048.7767
MEM 43.062500 1745297048.7779
MEM 43.218750 1745297048.7791
MEM 43.375000 1745297048.7802
MEM 43.375000 1745297048.7814
MEM 43.531250 1745297048.7826
MEM 43.687500 1745297048.7838
MEM 43.687500 1745297048.7850
MEM 43.687500 1745297048.7862
MEM 43.843750 1745297048.7874
MEM 43.843750 1745297048.7886
MEM 44.000000 1745297048.7898
MEM 44.000000 1745297048.7910
MEM 44.000000 1745297048.7923
MEM 44.156250 1745297048.7935
MEM 44.312500 1745297048.7947
MEM 44.312500 1745297048.7959
MEM 44.781250 1745297048.8003
MEM 44.781250 1745297048.8015
MEM 44.937500 1745297048.8027
MEM 45.093750 1745297048.8039
MEM 45.406250 1745297048.8051
MEM 46.093750 1745297048.8063
MEM 46.093750 1745297048.8075
MEM 46.250000 1745297048.8087
MEM 46.250000 1745297048.8098
MEM 46.406250 1745297048.8110
MEM 46.406250 1745297048.8122
MEM 46.562500 1745297048.8134
MEM 46.718750 1745297048.8146
MEM 46.718750 1745297048.8157
MEM 46.875000 1745297048.8169
MEM 46.875000 1745297048.8181
MEM 46.875000 1745297048.8193
MEM 46.875000 1745297048.8205
MEM 47.031250 1745297048.8217
MEM 47.031250 1745297048.8229
MEM 47.031250 1745297048.8241
MEM 47.031250 1745297048.8253
MEM 47.031250 1745297048.8265
MEM 47.187500 1745297048.8295
MEM 47.187500 1745297048.8307
MEM 47.187500 1745297048.8319
MEM 47.343750 1745297048.8331
MEM 47.343750 1745297048.8343
MEM 47.343750 1745297048.8355
MEM 47.343750 1745297048.8366
MEM 47.343750 1745297048.8378
MEM 47.343750 1745297048.8390
MEM 47.343750 1745297048.8402
MEM 47.343750 1745297048.8414
MEM 47.343750 1745297048.8425
MEM 47.343750 1745297048.8437
MEM 47.343750 1745297048.8453
MEM 47.343750 1745297048.8465
MEM 47.343750 1745297048.8476
MEM 47.343750 1745297048.8515
MEM 47.343750 1745297048.8527
MEM 47.343750 1745297048.8539
MEM 47.343750 1745297048.8550
MEM 47.343750 1745297048.8562
MEM 47.343750 1745297048.8574
MEM 47.343750 1745297048.8585
MEM 47.343750 1745297048.8597
MEM 47.343750 1745297048.8609
MEM 47.343750 1745297048.8621
MEM 47.343750 1745297048.8632
MEM 47.343750 1745297048.8644
MEM 47.343750 1745297048.8656
MEM 47.343750 1745297048.8667
MEM 47.343750 1745297048.8679
MEM 47.343750 1745297048.8691
MEM 47.343750 1745297048.8702
MEM 47.500000 1745297048.8714
MEM 47.812500 1745297048.8726
MEM 47.812500 1745297048.8738
MEM 47.968750 1745297048.8750
MEM 47.968750 1745297048.8761
MEM 48.125000 1745297048.8795
MEM 48.281250 1745297048.8807
MEM 48.437500 1745297048.8819
MEM 48.437500 1745297048.8831
MEM 48.437500 1745297048.8842
MEM 48.437500 1745297048.8854
MEM 48.437500 1745297048.8866
MEM 48.437500 1745297048.8878
MEM 48.437500 1745297048.8890
MEM 48.437500 1745297048.8903
MEM 48.593750 1745297048.8915
MEM 48.593750 1745297048.8927
MEM 48.593750 1745297048.8939
MEM 48.593750 1745297048.8951
MEM 48.750000 1745297048.8963
MEM 48.750000 1745297048.8975
MEM 48.750000 1745297048.9005
MEM 48.906250 1745297048.9017
MEM 48.906250 1745297048.9029
MEM 48.906250 1745297048.9040
MEM 49.218750 1745297048.9052
MEM 49.843750 1745297048.9064
MEM 50.312500 1745297048.9077
MEM 50.312500 1745297048.9089
MEM 50.312500 1745297048.9101
MEM 50.312500 1745297048.9114
MEM 50.312500 1745297048.9156
MEM 50.312500 1745297048.9168
MEM 50.312500 1745297048.9180
MEM 50.312500 1745297048.9191
MEM 50.312500 1745297048.9203
MEM 50.312500 1745297048.9214
MEM 50.312500 1745297048.9226
MEM 50.312500 1745297048.9238
MEM 50.312500 1745297048.9249
MEM 50.312500 1745297048.9261
MEM 50.312500 1745297048.9272
MEM 50.312500 1745297048.9284
MEM 50.312500 1745297048.9295
MEM 50.312500 1745297048.9307
MEM 50.312500 1745297048.9319
MEM 50.312500 1745297048.9335
MEM 50.312500 1745297048.9346
MEM 50.312500 1745297048.9357
MEM 50.312500 1745297048.9385
MEM 50.312500 1745297048.9397
MEM 50.312500 1745297048.9408
MEM 50.312500 1745297048.9420
MEM 50.312500 1745297048.9431
MEM 50.312500 1745297048.9443
MEM 50.312500 1745297048.9455
MEM 50.312500 1745297048.9471
MEM 50.312500 1745297048.9482
MEM 50.312500 1745297048.9494
MEM 50.312500 1745297048.9525
MEM 50.312500 1745297048.9537
MEM 50.312500 1745297048.9548
MEM 50.312500 1745297048.9560
MEM 50.312500 1745297048.9571
MEM 50.312500 1745297048.9583
MEM 50.312500 1745297048.9595
MEM 50.312500 1745297048.9606
MEM 50.312500 1745297048.9617
MEM 50.312500 1745297048.9629
MEM 50.312500 1745297048.9644
MEM 50.312500 1745297048.9665
MEM 50.312500 1745297048.9677
MEM 50.312500 1745297048.9690
MEM 50.312500 1745297048.9703
MEM 50.312500 1745297048.9714
MEM 50.312500 1745297048.9747
MEM 50.312500 1745297048.9758
MEM 50.312500 1745297048.9770
MEM 50.312500 1745297048.9782
MEM 50.312500 1745297048.9793
MEM 50.312500 1745297048.9805
MEM 50.312500 1745297048.9817
MEM 50.312500 1745297048.9828
MEM 50.312500 1745297048.9840
MEM 50.312500 1745297048.9852
MEM 50.312500 1745297048.9863
MEM 50.312500 1745297048.9877
MEM 50.312500 1745297048.9889
MEM 50.312500 1745297048.9900
MEM 50.312500 1745297048.9912
MEM 50.312500 1745297048.9923
MEM 50.312500 1745297048.9955
MEM 50.312500 1745297048.9967
MEM 50.312500 1745297048.9979
MEM 50.312500 1745297048.9990
MEM 50.312500 1745297049.0002
MEM 50.312500 1745297049.0016
MEM 50.312500 1745297049.0027
MEM 50.312500 1745297049.0050
MEM 50.312500 1745297049.0062
MEM 50.312500 1745297049.0073
MEM 50.312500 1745297049.0115
MEM 50.312500 1745297049.0129
MEM 50.312500 1745297049.0141
MEM 50.312500 1745297049.0152
MEM 50.312500 1745297049.0164
MEM 50.312500 1745297049.0176
MEM 50.312500 1745297049.0187
MEM 50.312500 1745297049.0199
MEM 50.312500 1745297049.0210
MEM 50.312500 1745297049.0222
MEM 50.312500 1745297049.0234
MEM 50.312500 1745297049.0246
MEM 50.312500 1745297049.0258
MEM 50.312500 1745297049.0270
MEM 50.312500 1745297049.0281
MEM 50.312500 1745297049.0293
MEM 50.312500 1745297049.0335
MEM 50.312500 1745297049.0347
MEM 50.312500 1745297049.0358
MEM 50.312500 1745297049.0370
MEM 50.312500 1745297049.0382
MEM 50.312500 1745297049.0394
MEM 50.312500 1745297049.0406
MEM 49.464844 1745297049.0417
MEM 0.000000 1745297049.0429
MEM 0.000000 1745297049.0440
