CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Human/1439.py
MEM 31.742188 1745297048.5770
MEM 31.898438 1745297048.5782
MEM 31.898438 1745297048.5793
MEM 32.054688 1745297048.5805
MEM 32.054688 1745297048.5816
MEM 32.054688 1745297048.5828
MEM 32.367188 1745297048.5839
MEM 32.523438 1745297048.5851
MEM 32.679688 1745297048.5863
MEM 32.835938 1745297048.5874
MEM 32.835938 1745297048.5886
MEM 33.148438 1745297048.5898
MEM 33.148438 1745297048.5909
MEM 33.148438 1745297048.5921
MEM 33.304688 1745297048.5933
MEM 33.304688 1745297048.5945
MEM 33.304688 1745297048.5956
MEM 33.304688 1745297048.5968
MEM 33.929688 1745297048.6015
MEM 33.929688 1745297048.6026
MEM 33.929688 1745297048.6038
MEM 33.929688 1745297048.6050
MEM 33.929688 1745297048.6061
MEM 34.085938 1745297048.6073
MEM 34.261719 1745297048.6084
MEM 34.792969 1745297048.6096
MEM 34.792969 1745297048.6108
MEM 34.792969 1745297048.6119
MEM 34.792969 1745297048.6131
MEM 34.792969 1745297048.6142
MEM 35.105469 1745297048.6185
MEM 35.105469 1745297048.6196
MEM 35.105469 1745297048.6208
MEM 35.105469 1745297048.6220
MEM 35.105469 1745297048.6231
MEM 35.261719 1745297048.6243
MEM 35.261719 1745297048.6255
MEM 35.417969 1745297048.6266
MEM 35.730469 1745297048.6278
MEM 36.109375 1745297048.6290
MEM 36.109375 1745297048.6302
MEM 36.265625 1745297048.6313
MEM 36.265625 1745297048.6324
MEM 36.421875 1745297048.6365
MEM 36.578125 1745297048.6377
MEM 36.734375 1745297048.6389
MEM 36.734375 1745297048.6400
MEM 36.734375 1745297048.6412
MEM 36.890625 1745297048.6424
MEM 36.890625 1745297048.6435
MEM 37.203125 1745297048.6475
MEM 37.203125 1745297048.6487
MEM 37.203125 1745297048.6498
MEM 37.359375 1745297048.6510
MEM 37.359375 1745297048.6521
MEM 37.515625 1745297048.6533
MEM 37.515625 1745297048.6545
MEM 37.671875 1745297048.6556
MEM 37.671875 1745297048.6568
MEM 37.984375 1745297048.6579
MEM 37.984375 1745297048.6591
MEM 38.140625 1745297048.6603
MEM 38.140625 1745297048.6614
MEM 38.140625 1745297048.6626
MEM 38.140625 1745297048.6638
MEM 38.453125 1745297048.6685
MEM 38.765625 1745297048.6696
MEM 38.765625 1745297048.6708
MEM 38.921875 1745297048.6719
MEM 38.921875 1745297048.6731
MEM 39.078125 1745297048.6743
MEM 39.234375 1745297048.6754
MEM 39.234375 1745297048.6766
MEM 39.390625 1745297048.6777
MEM 39.703125 1745297048.6789
MEM 39.703125 1745297048.6801
MEM 39.859375 1745297048.6812
MEM 39.859375 1745297048.6824
MEM 40.015625 1745297048.6865
MEM 40.171875 1745297048.6876
MEM 40.328125 1745297048.6888
MEM 40.648438 1745297048.6899
MEM 40.804688 1745297048.6911
MEM 40.804688 1745297048.6923
MEM 40.960938 1745297048.6934
MEM 40.960938 1745297048.6946
MEM 40.960938 1745297048.6958
MEM 40.960938 1745297048.6969
MEM 41.117188 1745297048.6981
MEM 41.429688 1745297048.6992
MEM 41.429688 1745297048.7004
MEM 41.429688 1745297048.7015
MEM 41.585938 1745297048.7027
MEM 41.585938 1745297048.7038
MEM 41.742188 1745297048.7050
MEM 41.742188 1745297048.7061
MEM 41.742188 1745297048.7073
MEM 41.898438 1745297048.7085
MEM 41.898438 1745297048.7096
MEM 42.054688 1745297048.7108
MEM 42.054688 1745297048.7119
MEM 42.054688 1745297048.7131
MEM 42.210938 1745297048.7143
MEM 42.210938 1745297048.7154
MEM 42.210938 1745297048.7166
MEM 42.367188 1745297048.7178
MEM 42.367188 1745297048.7189
MEM 42.523438 1745297048.7201
MEM 42.679688 1745297048.7213
MEM 42.679688 1745297048.7224
MEM 42.992188 1745297048.7255
MEM 42.992188 1745297048.7267
MEM 42.992188 1745297048.7278
MEM 43.148438 1745297048.7290
MEM 43.304688 1745297048.7302
MEM 43.460938 1745297048.7313
MEM 43.460938 1745297048.7325
MEM 43.617188 1745297048.7336
MEM 43.773438 1745297048.7348
MEM 43.773438 1745297048.7359
MEM 43.773438 1745297048.7371
MEM 43.929688 1745297048.7382
MEM 43.929688 1745297048.7394
MEM 44.085938 1745297048.7405
MEM 44.398438 1745297048.7475
MEM 44.554688 1745297048.7487
MEM 44.710938 1745297048.7499
MEM 44.710938 1745297048.7510
MEM 44.867188 1745297048.7522
MEM 44.867188 1745297048.7534
MEM 45.023438 1745297048.7545
MEM 45.023438 1745297048.7557
MEM 45.179688 1745297048.7569
MEM 45.804688 1745297048.7580
MEM 46.179688 1745297048.7592
MEM 46.179688 1745297048.7604
MEM 46.335938 1745297048.7615
MEM 46.335938 1745297048.7627
MEM 46.492188 1745297048.7639
MEM 46.492188 1745297048.7650
MEM 46.804688 1745297048.7685
MEM 46.804688 1745297048.7696
MEM 46.960938 1745297048.7708
MEM 46.960938 1745297048.7720
MEM 46.960938 1745297048.7731
MEM 46.960938 1745297048.7743
MEM 47.117188 1745297048.7754
MEM 47.117188 1745297048.7766
MEM 47.117188 1745297048.7778
MEM 47.117188 1745297048.7789
MEM 47.273438 1745297048.7815
MEM 47.273438 1745297048.7827
MEM 47.273438 1745297048.7839
MEM 47.273438 1745297048.7851
MEM 47.273438 1745297048.7862
MEM 47.429688 1745297048.7874
MEM 47.429688 1745297048.7899
MEM 47.429688 1745297048.7911
MEM 47.429688 1745297048.7922
MEM 47.429688 1745297048.7939
MEM 47.429688 1745297048.7951
MEM 47.429688 1745297048.7964
MEM 47.429688 1745297048.7999
MEM 47.429688 1745297048.8010
MEM 47.429688 1745297048.8022
MEM 47.429688 1745297048.8033
MEM 47.429688 1745297048.8044
MEM 47.429688 1745297048.8056
MEM 47.429688 1745297048.8068
MEM 47.429688 1745297048.8079
MEM 47.429688 1745297048.8091
MEM 47.429688 1745297048.8102
MEM 47.429688 1745297048.8114
MEM 47.429688 1745297048.8127
MEM 47.429688 1745297048.8141
MEM 47.429688 1745297048.8153
MEM 47.429688 1745297048.8164
MEM 47.429688 1745297048.8197
MEM 47.429688 1745297048.8209
MEM 47.585938 1745297048.8221
MEM 47.898438 1745297048.8232
MEM 47.898438 1745297048.8244
MEM 48.054688 1745297048.8255
MEM 48.054688 1745297048.8267
MEM 48.054688 1745297048.8278
MEM 48.054688 1745297048.8290
MEM 48.210938 1745297048.8301
MEM 48.367188 1745297048.8313
MEM 48.523438 1745297048.8325
MEM 48.679688 1745297048.8336
MEM 48.679688 1745297048.8348
MEM 48.679688 1745297048.8361
MEM 48.679688 1745297048.8374
MEM 48.679688 1745297048.8386
MEM 48.679688 1745297048.8397
MEM 48.679688 1745297048.8409
MEM 48.679688 1745297048.8420
MEM 48.835938 1745297048.8432
MEM 48.835938 1745297048.8447
MEM 48.835938 1745297048.8459
MEM 48.992188 1745297048.8506
MEM 48.992188 1745297048.8529
MEM 48.992188 1745297048.8542
MEM 49.148438 1745297048.8554
MEM 49.148438 1745297048.8566
MEM 49.148438 1745297048.8578
MEM 49.148438 1745297048.8590
MEM 49.773438 1745297048.8601
MEM 50.554688 1745297048.8613
MEM 51.335938 1745297048.8625
MEM 51.648438 1745297048.8637
MEM 51.804688 1745297048.8650
MEM 51.804688 1745297048.8661
MEM 51.804688 1745297048.8673
MEM 51.804688 1745297048.8684
MEM 51.804688 1745297048.8715
MEM 51.804688 1745297048.8727
MEM 51.804688 1745297048.8755
MEM 51.804688 1745297048.8767
MEM 51.804688 1745297048.8794
MEM 51.804688 1745297048.8806
MEM 51.804688 1745297048.8817
MEM 51.804688 1745297048.8833
MEM 51.804688 1745297048.8897
MEM 51.804688 1745297048.8909
MEM 51.804688 1745297048.8920
MEM 51.804688 1745297048.8932
MEM 51.804688 1745297048.8949
MEM 51.804688 1745297048.8961
MEM 51.804688 1745297048.8973
MEM 51.804688 1745297048.8984
MEM 51.804688 1745297048.8997
