CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Human/35.py
MEM 3.734375 1745297048.5168
MEM 4.531250 1745297048.5180
MEM 5.363281 1745297048.5192
MEM 5.550781 1745297048.5235
MEM 6.101562 1745297048.5247
MEM 6.593750 1745297048.5259
MEM 7.093750 1745297048.5271
MEM 7.250000 1745297048.5283
MEM 7.250000 1745297048.5295
MEM 7.250000 1745297048.5307
MEM 7.250000 1745297048.5319
MEM 7.773438 1745297048.5331
MEM 8.117188 1745297048.5343
MEM 8.117188 1745297048.5355
MEM 8.117188 1745297048.5366
MEM 8.117188 1745297048.5378
MEM 8.273438 1745297048.5390
MEM 8.585938 1745297048.5402
MEM 8.898438 1745297048.5414
MEM 8.898438 1745297048.5425
MEM 8.898438 1745297048.5437
MEM 8.898438 1745297048.5449
MEM 9.054688 1745297048.5461
MEM 9.367188 1745297048.5472
MEM 9.367188 1745297048.5484
MEM 9.367188 1745297048.5496
MEM 9.523438 1745297048.5525
MEM 9.679688 1745297048.5537
MEM 9.679688 1745297048.5549
MEM 9.679688 1745297048.5561
MEM 9.992188 1745297048.5572
MEM 9.992188 1745297048.5584
MEM 9.992188 1745297048.5596
MEM 10.199219 1745297048.5608
MEM 10.355469 1745297048.5620
MEM 10.511719 1745297048.5631
MEM 10.667969 1745297048.5643
MEM 10.980469 1745297048.5655
MEM 11.453125 1745297048.5705
MEM 11.609375 1745297048.5717
MEM 11.921875 1745297048.5729
MEM 13.136719 1745297048.5741
MEM 14.496094 1745297048.5752
MEM 14.652344 1745297048.5764
MEM 14.652344 1745297048.5776
MEM 15.500000 1745297048.5788
MEM 15.812500 1745297048.5800
MEM 16.125000 1745297048.5812
MEM 16.125000 1745297048.5824
MEM 16.281250 1745297048.5836
MEM 16.437500 1745297048.5848
MEM 16.437500 1745297048.5860
MEM 16.593750 1745297048.5872
MEM 16.750000 1745297048.5884
MEM 16.750000 1745297048.5895
MEM 16.750000 1745297048.5907
MEM 16.750000 1745297048.5919
MEM 16.906250 1745297048.5931
MEM 17.062500 1745297048.5943
MEM 17.531250 1745297048.5955
MEM 17.531250 1745297048.5966
MEM 17.531250 1745297048.5978
MEM 17.687500 1745297048.5990
MEM 17.687500 1745297048.6002
MEM 18.000000 1745297048.6014
MEM 18.156250 1745297048.6026
MEM 18.781250 1745297048.6065
MEM 18.937500 1745297048.6077
MEM 19.476562 1745297048.6089
MEM 19.476562 1745297048.6100
MEM 19.476562 1745297048.6112
MEM 19.476562 1745297048.6124
MEM 19.476562 1745297048.6136
MEM 19.476562 1745297048.6147
MEM 19.632812 1745297048.6159
MEM 19.789062 1745297048.6171
MEM 19.945312 1745297048.6183
