CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Gemini-2Flash/793.py
MEM 0.000000 1745294911.4296
MEM 4.312500 1745294911.4359
MEM 4.640625 1745294911.4371
MEM 4.953125 1745294911.4383
MEM 5.316406 1745294911.4394
MEM 5.687500 1745294911.4406
MEM 5.687500 1745294911.4417
MEM 6.390625 1745294911.4428
MEM 6.390625 1745294911.4440
MEM 6.390625 1745294911.4452
MEM 7.203125 1745294911.4515
MEM 7.203125 1745294911.4528
MEM 7.203125 1745294911.4540
MEM 7.539062 1745294911.4551
MEM 7.726562 1745294911.4563
MEM 8.070312 1745294911.4574
MEM 8.226562 1745294911.4588
MEM 8.382812 1745294911.4600
MEM 8.539062 1745294911.4613
MEM 8.695312 1745294911.4625
MEM 8.851562 1745294911.4637
MEM 8.851562 1745294911.4648
MEM 9.164062 1745294911.4659
MEM 9.320312 1745294911.4670
MEM 9.476562 1745294911.4682
MEM 9.476562 1745294911.4693
MEM 9.632812 1745294911.4704
MEM 9.789062 1745294911.4716
MEM 9.945312 1745294911.4741
MEM 9.945312 1745294911.4753
MEM 10.109375 1745294911.4764
MEM 10.265625 1745294911.4776
MEM 10.421875 1745294911.4789
MEM 10.421875 1745294911.4801
MEM 10.765625 1745294911.4813
MEM 11.078125 1745294911.4835
MEM 11.078125 1745294911.4847
MEM 11.406250 1745294911.4858
MEM 11.406250 1745294911.4872
MEM 11.406250 1745294911.4884
MEM 11.875000 1745294911.4895
MEM 11.875000 1745294911.4907
MEM 14.218750 1745294911.4926
MEM 14.687500 1745294911.4937
MEM 14.687500 1745294911.4949
MEM 14.687500 1745294911.4962
MEM 16.058594 1745294911.4995
MEM 16.058594 1745294911.5007
MEM 16.214844 1745294911.5032
MEM 16.371094 1745294911.5044
MEM 16.527344 1745294911.5056
MEM 16.527344 1745294911.5068
MEM 16.527344 1745294911.5079
MEM 16.847656 1745294911.5091
MEM 16.847656 1745294911.5103
MEM 16.847656 1745294911.5115
MEM 16.847656 1745294911.5154
MEM 17.472656 1745294911.5166
MEM 17.628906 1745294911.5178
MEM 17.628906 1745294911.5190
MEM 17.628906 1745294911.5202
MEM 17.628906 1745294911.5214
MEM 17.785156 1745294911.5225
MEM 17.785156 1745294911.5237
MEM 17.785156 1745294911.5248
MEM 17.941406 1745294911.5259
MEM 18.253906 1745294911.5271
MEM 18.253906 1745294911.5282
MEM 18.566406 1745294911.5294
MEM 18.566406 1745294911.5305
MEM 18.722656 1745294911.5323
MEM 18.878906 1745294911.5335
MEM 19.035156 1745294911.5347
MEM 19.382812 1745294911.5359
MEM 19.382812 1745294911.5371
MEM 19.539062 1745294911.5405
MEM 19.695312 1745294911.5417
MEM 19.890625 1745294911.5429
MEM 20.046875 1745294911.5441
MEM 20.203125 1745294911.5454
MEM 20.363281 1745294911.5466
MEM 20.363281 1745294911.5477
MEM 20.363281 1745294911.5489
MEM 20.519531 1745294911.5501
MEM 20.519531 1745294911.5512
MEM 20.519531 1745294911.5524
MEM 20.675781 1745294911.5536
MEM 20.832031 1745294911.5548
MEM 21.148438 1745294911.5560
MEM 21.148438 1745294911.5572
MEM 21.304688 1745294911.5583
MEM 21.304688 1745294911.5594
MEM 21.617188 1745294911.5607
MEM 21.773438 1745294911.5619
MEM 21.773438 1745294911.5631
MEM 22.085938 1745294911.5642
MEM 22.242188 1745294911.5654
MEM 22.242188 1745294911.5665
MEM 22.242188 1745294911.5694
MEM 22.398438 1745294911.5706
MEM 22.398438 1745294911.5717
MEM 22.710938 1745294911.5731
MEM 22.710938 1745294911.5743
MEM 23.179688 1745294911.5754
MEM 23.335938 1745294911.5766
MEM 23.335938 1745294911.5777
MEM 23.492188 1745294911.5789
MEM 23.648438 1745294911.5800
MEM 23.648438 1745294911.5812
MEM 23.648438 1745294911.5845
MEM 23.804688 1745294911.5857
MEM 23.960938 1745294911.5881
MEM 24.273438 1745294911.5893
MEM 24.429688 1745294911.5905
MEM 24.429688 1745294911.5924
MEM 24.585938 1745294911.5935
MEM 25.082031 1745294911.5996
MEM 25.238281 1745294911.6008
MEM 25.238281 1745294911.6020
MEM 25.238281 1745294911.6031
MEM 25.238281 1745294911.6043
MEM 25.238281 1745294911.6054
MEM 25.238281 1745294911.6066
MEM 25.238281 1745294911.6078
MEM 25.238281 1745294911.6089
MEM 25.238281 1745294911.6101
MEM 25.394531 1745294911.6112
MEM 25.707031 1745294911.6124
MEM 25.707031 1745294911.6135
MEM 25.707031 1745294911.6147
MEM 25.707031 1745294911.6159
MEM 25.707031 1745294911.6170
MEM 25.707031 1745294911.6195
MEM 25.863281 1745294911.6207
MEM 26.199219 1745294911.6221
MEM 26.199219 1745294911.6233
MEM 26.199219 1745294911.6245
MEM 26.199219 1745294911.6256
MEM 26.511719 1745294911.6267
MEM 26.667969 1745294911.6306
MEM 26.667969 1745294911.6318
MEM 26.667969 1745294911.6330
MEM 26.667969 1745294911.6343
MEM 26.824219 1745294911.6355
MEM 26.824219 1745294911.6367
MEM 26.824219 1745294911.6379
MEM 26.824219 1745294911.6391
MEM 26.824219 1745294911.6403
MEM 26.980469 1745294911.6414
MEM 26.980469 1745294911.6426
MEM 27.136719 1745294911.6437
MEM 27.136719 1745294911.6450
MEM 27.136719 1745294911.6462
MEM 27.136719 1745294911.6475
MEM 27.136719 1745294911.6486
MEM 27.292969 1745294911.6497
MEM 27.292969 1745294911.6509
MEM 27.292969 1745294911.6520
MEM 27.449219 1745294911.6533
MEM 27.449219 1745294911.6545
MEM 27.605469 1745294911.6557
MEM 27.605469 1745294911.6569
MEM 27.605469 1745294911.6581
MEM 27.605469 1745294911.6592
MEM 27.761719 1745294911.6604
MEM 27.761719 1745294911.6617
MEM 27.761719 1745294911.6628
MEM 27.761719 1745294911.6640
MEM 27.761719 1745294911.6651
MEM 27.917969 1745294911.6665
MEM 28.074219 1745294911.6705
MEM 28.074219 1745294911.6717
MEM 28.074219 1745294911.6730
MEM 28.074219 1745294911.6743
MEM 28.074219 1745294911.6754
MEM 28.074219 1745294911.6765
MEM 28.230469 1745294911.6777
MEM 28.230469 1745294911.6789
MEM 28.230469 1745294911.6800
MEM 28.230469 1745294911.6824
MEM 28.230469 1745294911.6837
MEM 28.230469 1745294911.6849
MEM 28.230469 1745294911.6861
MEM 28.699219 1745294911.6873
MEM 28.699219 1745294911.6884
MEM 28.699219 1745294911.6896
MEM 28.699219 1745294911.6907
MEM 28.855469 1745294911.6919
MEM 28.855469 1745294911.6931
MEM 29.011719 1745294911.6965
MEM 29.011719 1745294911.6977
MEM 29.167969 1745294911.6988
MEM 29.167969 1745294911.7004
MEM 29.167969 1745294911.7016
MEM 29.167969 1745294911.7027
MEM 29.167969 1745294911.7039
MEM 30.816406 1745294911.7050
MEM 31.503906 1745294911.7062
MEM 31.503906 1745294911.7075
MEM 31.503906 1745294911.7087
MEM 31.503906 1745294911.7098
MEM 31.503906 1745294911.7110
MEM 31.660156 1745294911.7122
MEM 31.816406 1745294911.7146
MEM 31.816406 1745294911.7159
MEM 31.816406 1745294911.7171
MEM 31.972656 1745294911.7182
MEM 32.128906 1745294911.7194
MEM 32.128906 1745294911.7206
MEM 32.128906 1745294911.7217
MEM 32.128906 1745294911.7229
MEM 32.128906 1745294911.7241
MEM 32.597656 1745294911.7252
MEM 32.597656 1745294911.7266
MEM 32.597656 1745294911.7279
MEM 32.597656 1745294911.7291
MEM 32.753906 1745294911.7302
MEM 32.910156 1745294911.7314
MEM 33.222656 1745294911.7366
MEM 33.222656 1745294911.7378
MEM 33.222656 1745294911.7391
MEM 33.222656 1745294911.7403
MEM 33.222656 1745294911.7415
MEM 33.378906 1745294911.7427
MEM 33.378906 1745294911.7440
MEM 33.535156 1745294911.7452
MEM 33.535156 1745294911.7463
MEM 33.535156 1745294911.7474
MEM 33.535156 1745294911.7486
MEM 33.535156 1745294911.7497
MEM 33.535156 1745294911.7509
MEM 33.847656 1745294911.7522
MEM 33.847656 1745294911.7535
MEM 33.847656 1745294911.7547
MEM 33.847656 1745294911.7558
MEM 33.847656 1745294911.7570
MEM 33.847656 1745294911.7582
MEM 34.003906 1745294911.7593
MEM 34.003906 1745294911.7605
MEM 34.003906 1745294911.7616
MEM 34.003906 1745294911.7628
MEM 34.003906 1745294911.7640
MEM 34.003906 1745294911.7651
MEM 34.160156 1745294911.7663
MEM 34.660156 1745294911.7678
MEM 34.816406 1745294911.7716
MEM 34.816406 1745294911.7728
MEM 34.816406 1745294911.7740
MEM 34.816406 1745294911.7753
MEM 34.816406 1745294911.7766
MEM 34.972656 1745294911.7778
MEM 34.972656 1745294911.7790
MEM 34.972656 1745294911.7801
MEM 34.972656 1745294911.7812
MEM 34.972656 1745294911.7824
MEM 34.972656 1745294911.7836
MEM 34.972656 1745294911.7848
MEM 35.128906 1745294911.7859
MEM 35.128906 1745294911.7906
MEM 35.128906 1745294911.7917
MEM 35.128906 1745294911.7929
MEM 35.285156 1745294911.7943
MEM 35.285156 1745294911.7955
MEM 35.285156 1745294911.7967
MEM 35.285156 1745294911.7978
MEM 36.066406 1745294911.7990
MEM 36.085938 1745294911.8001
MEM 36.085938 1745294911.8015
MEM 36.085938 1745294911.8027
MEM 36.242188 1745294911.8039
MEM 36.242188 1745294911.8051
MEM 36.398438 1745294911.8063
MEM 36.710938 1745294911.8115
MEM 36.867188 1745294911.8127
MEM 37.023438 1745294911.8138
MEM 37.023438 1745294911.8150
MEM 37.335938 1745294911.8178
MEM 37.335938 1745294911.8190
MEM 37.492188 1745294911.8201
MEM 37.648438 1745294911.8213
MEM 37.648438 1745294911.8225
MEM 37.960938 1745294911.8237
MEM 38.117188 1745294911.8248
MEM 38.117188 1745294911.8260
MEM 38.117188 1745294911.8272
MEM 38.117188 1745294911.8284
MEM 38.742188 1745294911.8328
MEM 38.898438 1745294911.8339
MEM 38.898438 1745294911.8351
MEM 39.054688 1745294911.8362
MEM 39.210938 1745294911.8374
MEM 39.367188 1745294911.8388
MEM 39.679688 1745294911.8400
MEM 39.835938 1745294911.8411
MEM 39.835938 1745294911.8422
MEM 39.835938 1745294911.8434
MEM 39.992188 1745294911.8445
MEM 40.148438 1745294911.8457
MEM 40.304688 1745294911.8468
MEM 40.800781 1745294911.8496
MEM 40.800781 1745294911.8508
MEM 40.800781 1745294911.8519
MEM 40.957031 1745294911.8533
MEM 41.269531 1745294911.8545
MEM 41.269531 1745294911.8557
MEM 41.460938 1745294911.8570
MEM 41.617188 1745294911.8582
MEM 41.773438 1745294911.8594
MEM 41.773438 1745294911.8605
MEM 41.929688 1745294911.8617
MEM 42.085938 1745294911.8628
MEM 42.085938 1745294911.8640
MEM 42.085938 1745294911.8651
MEM 42.242188 1745294911.8663
MEM 42.710938 1745294911.8705
MEM 42.867188 1745294911.8717
MEM 43.023438 1745294911.8729
MEM 43.023438 1745294911.8744
MEM 43.179688 1745294911.8755
MEM 43.335938 1745294911.8767
MEM 43.492188 1745294911.8779
MEM 43.648438 1745294911.8791
MEM 43.804688 1745294911.8803
MEM 43.804688 1745294911.8815
MEM 43.960938 1745294911.8826
MEM 43.960938 1745294911.8838
MEM 44.117188 1745294911.8849
MEM 44.117188 1745294911.8860
MEM 44.117188 1745294911.8874
MEM 44.429688 1745294911.8886
MEM 44.429688 1745294911.8898
MEM 44.585938 1745294911.8910
MEM 44.742188 1745294911.8921
MEM 44.898438 1745294911.8933
