CMDLINE /home/hople/Downloads/miniconda3/yes/envs/algorithm/bin/python ./../dat_results/Gemini-2Flash/744.py
MEM 35.082031 1745294911.6247
MEM 35.082031 1745294911.6258
MEM 35.082031 1745294911.6270
MEM 35.238281 1745294911.6281
MEM 35.238281 1745294911.6293
MEM 35.238281 1745294911.6305
MEM 35.238281 1745294911.6316
MEM 35.394531 1745294911.6328
MEM 35.394531 1745294911.6340
MEM 35.550781 1745294911.6351
MEM 35.550781 1745294911.6363
MEM 36.644531 1745294911.6375
MEM 36.292969 1745294911.6386
MEM 36.449219 1745294911.6398
MEM 36.449219 1745294911.6409
MEM 36.605469 1745294911.6421
MEM 36.605469 1745294911.6432
MEM 36.605469 1745294911.6444
MEM 36.761719 1745294911.6465
MEM 36.917969 1745294911.6476
MEM 36.917969 1745294911.6488
MEM 37.074219 1745294911.6499
MEM 37.074219 1745294911.6511
MEM 37.230469 1745294911.6522
MEM 37.230469 1745294911.6534
MEM 37.386719 1745294911.6546
MEM 37.386719 1745294911.6558
MEM 37.542969 1745294911.6569
MEM 37.542969 1745294911.6581
MEM 37.699219 1745294911.6592
MEM 37.699219 1745294911.6604
MEM 37.855469 1745294911.6616
MEM 38.011719 1745294911.6628
MEM 38.167969 1745294911.6640
MEM 38.324219 1745294911.6651
MEM 38.324219 1745294911.6663
MEM 38.324219 1745294911.6675
MEM 38.324219 1745294911.6688
MEM 38.480469 1745294911.6722
MEM 38.792969 1745294911.6734
MEM 38.949219 1745294911.6746
MEM 39.105469 1745294911.6757
MEM 39.105469 1745294911.6769
MEM 39.105469 1745294911.6781
MEM 39.261719 1745294911.6792
MEM 39.417969 1745294911.6804
MEM 39.417969 1745294911.6816
MEM 39.574219 1745294911.6828
MEM 39.886719 1745294911.6839
MEM 39.886719 1745294911.6851
MEM 40.042969 1745294911.6862
MEM 40.042969 1745294911.6874
MEM 40.355469 1745294911.6915
MEM 40.511719 1745294911.6926
MEM 40.843750 1745294911.6938
MEM 40.843750 1745294911.6950
MEM 41.000000 1745294911.6961
MEM 41.000000 1745294911.6973
MEM 41.000000 1745294911.6984
MEM 41.000000 1745294911.6996
MEM 41.156250 1745294911.7008
MEM 41.468750 1745294911.7019
MEM 41.468750 1745294911.7031
MEM 41.468750 1745294911.7042
MEM 41.625000 1745294911.7054
MEM 41.781250 1745294911.7065
MEM 41.937500 1745294911.7077
MEM 41.937500 1745294911.7089
MEM 42.093750 1745294911.7100
MEM 42.093750 1745294911.7112
MEM 42.250000 1745294911.7124
MEM 42.250000 1745294911.7135
MEM 42.250000 1745294911.7147
MEM 42.250000 1745294911.7158
MEM 42.406250 1745294911.7171
MEM 42.406250 1745294911.7184
MEM 42.562500 1745294911.7195
MEM 42.718750 1745294911.7207
MEM 42.875000 1745294911.7218
MEM 42.875000 1745294911.7230
MEM 43.031250 1745294911.7242
MEM 43.187500 1745294911.7253
MEM 43.500000 1745294911.7295
MEM 43.656250 1745294911.7307
MEM 43.656250 1745294911.7318
MEM 43.812500 1745294911.7330
MEM 43.968750 1745294911.7341
MEM 43.968750 1745294911.7353
MEM 43.968750 1745294911.7365
MEM 44.125000 1745294911.7377
MEM 44.281250 1745294911.7388
MEM 44.281250 1745294911.7400
MEM 44.281250 1745294911.7412
MEM 44.437500 1745294911.7423
MEM 44.593750 1745294911.7435
MEM 44.593750 1745294911.7446
MEM 44.750000 1745294911.7458
MEM 44.906250 1745294911.7470
MEM 44.906250 1745294911.7481
MEM 45.062500 1745294911.7493
MEM 45.062500 1745294911.7504
MEM 45.218750 1745294911.7516
MEM 45.218750 1745294911.7528
MEM 45.375000 1745294911.7539
MEM 46.156250 1745294911.7551
MEM 46.378906 1745294911.7563
MEM 46.535156 1745294911.7585
MEM 46.535156 1745294911.7597
MEM 46.691406 1745294911.7608
MEM 46.691406 1745294911.7620
MEM 46.847656 1745294911.7632
MEM 47.003906 1745294911.7643
MEM 47.003906 1745294911.7655
MEM 47.160156 1745294911.7666
MEM 47.316406 1745294911.7715
MEM 47.316406 1745294911.7727
MEM 47.316406 1745294911.7738
MEM 47.316406 1745294911.7750
MEM 47.472656 1745294911.7762
MEM 47.472656 1745294911.7773
MEM 47.472656 1745294911.7785
MEM 47.472656 1745294911.7796
MEM 47.472656 1745294911.7808
MEM 47.628906 1745294911.7819
MEM 47.628906 1745294911.7831
MEM 47.628906 1745294911.7842
MEM 47.628906 1745294911.7854
MEM 47.628906 1745294911.7865
MEM 47.628906 1745294911.7876
MEM 47.628906 1745294911.7888
MEM 47.628906 1745294911.7899
MEM 47.628906 1745294911.7911
MEM 47.628906 1745294911.7923
MEM 47.628906 1745294911.7934
MEM 47.628906 1745294911.7946
MEM 47.628906 1745294911.7958
MEM 47.628906 1745294911.7969
MEM 47.628906 1745294911.7981
MEM 47.628906 1745294911.7992
MEM 47.628906 1745294911.8004
MEM 47.628906 1745294911.8016
MEM 47.628906 1745294911.8028
MEM 47.628906 1745294911.8040
MEM 47.628906 1745294911.8051
MEM 47.628906 1745294911.8085
MEM 47.628906 1745294911.8097
MEM 47.628906 1745294911.8109
MEM 47.628906 1745294911.8120
MEM 47.628906 1745294911.8132
MEM 47.628906 1745294911.8143
MEM 47.628906 1745294911.8155
MEM 47.941406 1745294911.8167
MEM 48.097656 1745294911.8178
MEM 48.097656 1745294911.8190
MEM 48.253906 1745294911.8202
MEM 48.253906 1745294911.8213
MEM 48.253906 1745294911.8224
MEM 48.253906 1745294911.8236
MEM 48.722656 1745294911.8285
MEM 48.722656 1745294911.8297
MEM 48.722656 1745294911.8308
MEM 48.722656 1745294911.8320
MEM 48.722656 1745294911.8332
MEM 48.722656 1745294911.8344
MEM 48.722656 1745294911.8355
MEM 48.878906 1745294911.8367
MEM 48.878906 1745294911.8379
MEM 48.878906 1745294911.8390
MEM 48.878906 1745294911.8402
MEM 48.878906 1745294911.8414
MEM 49.035156 1745294911.8425
MEM 49.035156 1745294911.8437
MEM 49.035156 1745294911.8449
MEM 49.035156 1745294911.8460
MEM 49.035156 1745294911.8472
MEM 49.191406 1745294911.8483
MEM 49.191406 1745294911.8495
MEM 50.441406 1745294911.8545
MEM 50.597656 1745294911.8557
MEM 50.597656 1745294911.8569
MEM 50.597656 1745294911.8580
MEM 50.597656 1745294911.8592
MEM 50.597656 1745294911.8604
MEM 50.597656 1745294911.8616
MEM 50.597656 1745294911.8628
MEM 50.597656 1745294911.8639
MEM 50.597656 1745294911.8651
MEM 50.597656 1745294911.8663
MEM 50.597656 1745294911.8675
MEM 50.597656 1745294911.8686
MEM 50.597656 1745294911.8699
MEM 50.597656 1745294911.8710
MEM 50.597656 1745294911.8755
MEM 50.597656 1745294911.8767
MEM 50.597656 1745294911.8779
MEM 50.597656 1745294911.8791
MEM 50.597656 1745294911.8802
MEM 50.597656 1745294911.8814
MEM 50.597656 1745294911.8826
MEM 50.597656 1745294911.8838
MEM 50.597656 1745294911.8849
MEM 50.597656 1745294911.8895
